data_id,_id,x,y,z
616,1,13184.0,-204.0,-9876.0
617,1,13328.0,-236.0,-9780.0
618,1,13496.0,-348.0,-9836.0
619,1,13404.0,-328.0,-9984.0
620,1,13160.0,-200.0,-10064.0
621,1,13304.0,-132.0,-9996.0
622,1,13308.0,-244.0,-10008.0
623,1,13272.0,-120.0,-9864.0
624,1,13340.0,-192.0,-9736.0
625,1,13384.0,-240.0,-9844.0
626,1,13180.0,-328.0,-10072.0
627,1,13220.0,-232.0,-9880.0
628,1,13380.0,-256.0,-9804.0
629,1,13168.0,-228.0,-9908.0
630,1,13196.0,-72.0,-9896.0
631,1,13568.0,-116.0,-9800.0
632,1,13412.0,-272.0,-9988.0
633,1,13452.0,-68.0,-9804.0
634,1,13384.0,-168.0,-9828.0
635,1,13360.0,-232.0,-9888.0
636,1,13268.0,-128.0,-9952.0
637,1,13372.0,-176.0,-9884.0
638,1,13512.0,-84.0,-9808.0
639,1,13388.0,-116.0,-9832.0
640,1,13292.0,-100.0,-9728.0
641,1,13368.0,-176.0,-9856.0
642,1,13320.0,-116.0,-9880.0
643,1,13360.0,-192.0,-9880.0
644,1,13356.0,-116.0,-9848.0
645,1,13352.0,-224.0,-9852.0
646,1,13332.0,-232.0,-9728.0
647,1,13336.0,-116.0,-9840.0
648,1,13344.0,-160.0,-9800.0
649,1,13380.0,-216.0,-9876.0
650,1,13312.0,-260.0,-9756.0
651,1,13320.0,-268.0,-9920.0
652,1,13308.0,-140.0,-9836.0
653,1,13368.0,-84.0,-9984.0
654,1,13448.0,-132.0,-9948.0
655,1,13208.0,-180.0,-10000.0
656,1,13104.0,-124.0,-9856.0
657,1,13464.0,-192.0,-9968.0
658,1,13408.0,-288.0,-9896.0
659,1,13248.0,-272.0,-9872.0
660,1,13292.0,-276.0,-9904.0
661,1,13432.0,-232.0,-9876.0
662,1,13324.0,-112.0,-9856.0
663,1,13196.0,-108.0,-9952.0
664,1,13172.0,-68.0,-9960.0
665,1,13344.0,-76.0,-9916.0
666,1,13348.0,8.0,-9920.0
667,1,13348.0,0.0,-10024.0
668,1,13196.0,-68.0,-9908.0
669,1,13256.0,-104.0,-9936.0
670,1,13504.0,-232.0,-9792.0
671,1,13416.0,-164.0,-9800.0
672,1,13476.0,-96.0,-9768.0
673,1,13428.0,-64.0,-9816.0
674,1,13196.0,-4.0,-9908.0
675,1,13268.0,-124.0,-9908.0
676,1,13324.0,-52.0,-9864.0
677,1,13384.0,-80.0,-9868.0
678,1,13400.0,0.0,-9812.0
679,1,13424.0,-144.0,-9836.0
680,1,13424.0,-176.0,-9760.0
681,1,13368.0,-76.0,-9712.0
682,1,13484.0,-40.0,-9756.0
683,1,13528.0,-68.0,-9860.0
684,1,13396.0,-148.0,-9828.0
685,1,13364.0,-140.0,-9748.0
686,1,13404.0,-120.0,-9852.0
687,1,13308.0,-88.0,-9804.0
688,1,13224.0,-84.0,-9960.0
689,1,13236.0,-92.0,-10000.0
690,1,13336.0,-56.0,-9888.0
691,1,13388.0,-32.0,-9900.0
692,1,13264.0,-104.0,-9888.0
693,1,13312.0,-100.0,-9976.0
694,1,13368.0,-204.0,-9892.0
695,1,13116.0,-92.0,-9864.0
696,1,13168.0,-96.0,-10040.0
697,1,13420.0,-204.0,-9872.0
